Latitude[deg+veN],Longitude[deg+veW],yyyy-mm-ddThh24:mi[GMT/UT],pH,pCO2 (micro-atm)
50.03,4.37,2008-10-08,8.001,458.1
50.03,4.37,2008-10-22,8.045,407.6
50.03,4.37,2008-11-04,8.047,404.9
50.03,4.37,2008-12-11,8.040,411.2
50.03,4.37,2009-01-07,8.085,365.6
50.03,4.37,2009-01-27,8.116,336.0
50.03,4.37,2009-02-26,8.100,350.9
50.03,4.37,2009-03-11,8.130,323.7
50.03,4.37,2009-04-15,8.166,294.0
50.03,4.37,2009-06-09,8.122,331.4
50.03,4.37,2009-07-23,8.198,266.7
50.03,4.37,2009-10-13,8.074,376.6
50.03,4.37,2009-12-16,8.035,415.5
50.03,4.37,2010-06-17,8.175,286.4
50.03,4.37,2010-07-20,8.224,247.0
50.03,4.37,2010-08-17,8.146,307.9
50.03,4.37,2010-09-01,8.089,361.2
50.03,4.37,2010-12-14,8.086,363.3
50.03,4.37,2011-03-08,7.976,486.8
50.03,4.37,2011-03-21,7.995,464.3
50.03,4.37,2011-06-02,8.031,425.3
50.03,4.37,2011-07-14,8.074,380.0
50.03,4.37,2011-08-09,8.002,461.0
50.03,4.37,2012-01-13,7.992,469.5
50.03,4.37,2012-04-27,8.024,430.0
50.03,4.37,2012-05-16,8.066,386.1
50.03,4.37,2012-06-12,8.135,319.6
50.03,4.37,2012-06-26,8.132,325.2
50.03,4.37,2012-07-10,8.098,355.1
50.03,4.37,2012-08-08,8.261,227.1
50.03,4.37,2012-08-23,8.188,281.4
50.03,4.37,2012-09-04,8.106,352.1
50.03,4.37,2012-10-23,7.920,568.8
50.03,4.37,2012-11-06,8.003,461.4
50.03,4.37,2012-11-29,7.933,545.9
50.03,4.37,2013-03-20,7.825,716.0
50.03,4.37,2013-04-23,7.906,579.2
50.03,4.37,2013-05-01,7.834,691.9
50.03,4.37,2013-05-16,8.100,355.8
50.03,4.37,2013-06-04,8.036,419.6
50.03,4.37,2013-06-18,8.012,447.0
50.03,4.37,2013-07-02,8.177,289.0
50.03,4.37,2013-07-16,8.113,338.7
50.03,4.37,2013-08-07,8.049,401.4
50.03,4.37,2013-08-20,8.050,404.8
50.03,4.37,2013-09-03,7.777,806.0
50.03,4.37,2013-09-24,8.057,392.8
50.03,4.37,2013-11-12,8.049,401.7
50.03,4.37,2014-01-30,8.118,335.1
50.03,4.37,2014-02-19,8.077,374.1
50.03,4.37,2014-03-12,8.116,337.7
50.03,4.37,2014-04-10,8.192,274.2
50.03,4.37,2014-04-24,8.051,397.7
50.03,4.37,2014-05-14,8.212,262.2
50.03,4.37,2014-06-05,8.212,260.4
50.03,4.37,2014-06-17,8.005,450.3
50.03,4.37,2014-07-02,7.979,479.7
50.03,4.37,2014-08-19,8.010,440.4
50.03,4.37,2014-09-02,8.029,420.2
50.03,4.37,2014-09-30,7.971,484.4
50.03,4.37,2014-11-18,7.912,560.3
50.03,4.37,2014-12-01,7.949,512.4
50.03,4.37,2015-01-22,8.007,441.3
50.03,4.37,2015-02-10,8.059,384.9
50.03,4.37,2015-03-10,8.145,308.6
50.03,4.37,2015-03-25,8.143,309.8
50.03,4.37,2015-04-09,8.175,284.3
50.03,4.37,2015-04-30,8.194,271.2
50.03,4.37,2015-05-21,8.106,338.8
50.03,4.37,2015-06-04,8.160,296.4
50.03,4.37,2015-07-01,8.138,316.1
50.03,4.37,2015-07-15,8.130,320.9
50.03,4.37,2015-07-30,8.217,253.6
50.03,4.37,2015-09-03,8.145,305.7
50.03,4.37,2015-09-18,8.122,326.3
50.03,4.37,2015-11-26,8.091,357.0
50.03,4.37,2016-03-08,8.179,283.7
50.03,4.37,2016-03-22,8.191,274.7
50.03,4.37,2016-04-05,8.183,280.2
50.03,4.37,2016-05-17,7.922,545.7
50.03,4.37,2016-07-06,8.168,291.0
50.03,4.37,2016-07-19,8.168,288.9
50.03,4.37,2016-08-09,8.206,259.7
50.03,4.37,2016-08-23,8.132,319.1
50.03,4.37,2016-09-06,7.963,504.7
50.03,4.37,2016-09-20,8.132,317.7
50.03,4.37,2016-10-08,8.028,424.1
50.03,4.37,2016-10-11,8.021,426.2
50.03,4.37,2016-10-25,8.021,425.5
50.03,4.37,2016-11-23,8.146,311.1
50.03,4.37,2017-05-03,8.139,314.3
50.03,4.37,2017-06-01,8.114,334.8
50.03,4.37,2017-06-27,7.990,457.3
50.03,4.37,2017-07-19,7.914,565.1
50.03,4.37,2017-08-08,7.987,462.4
50.03,4.37,2017-08-22,8.123,329.4
50.03,4.37,2017-09-19,8.058,395.4
50.03,4.37,2017-10-03,7.999,447.8
50.03,4.37,2017-10-26,7.904,560.0
50.03,4.37,2017-11-03,8.156,301.5
50.03,4.37,2017-11-14,8.210,259.0
50.03,4.37,2017-11-29,8.219,252.8
50.03,4.37,2018-01-10,8.000,453.1
50.03,4.37,2018-02-06,8.030,420.6
50.03,4.37,2018-03-06,8.104,346.2
50.03,4.37,2018-04-09,8.035,411.8
50.03,4.37,2018-04-24,8.074,376.2
50.03,4.37,2018-05-23,8.120,336.7
50.03,4.37,2018-06-05,8.039,416.6
50.03,4.37,2018-06-19,7.818,718.8
50.03,4.37,2018-07-24,7.716,942.8
50.03,4.37,2018-08-07,7.945,537.6
50.03,4.37,2018-08-21,7.714,946.7
50.03,4.37,2018-09-04,7.867,650.9
50.03,4.37,2018-09-25,7.978,491.1
50.03,4.37,2018-10-09,7.898,585.2
50.03,4.37,2018-10-23,7.930,542.1
50.03,4.37,2018-12-04,7.949,513.0
50.03,4.37,2019-01-09,7.904,569.0
50.03,4.37,2019-01-29,7.905,574.9
50.03,4.37,2019-02-12,7.979,474.7
50.03,4.37,2019-03-19,8.037,411.2
50.03,4.37,2019-04-17,8.036,409.2
50.03,4.37,2019-05-02,8.102,344.1
50.03,4.37,2019-05-21,7.937,525.6
50.03,4.37,2019-07-02,7.888,595.6
50.03,4.37,2019-07-17,7.966,496.0
50.03,4.37,2019-08-13,7.984,474.5
50.03,4.37,2019-08-28,7.954,510.5
50.03,4.37,2019-11-06,7.960,504.8
50.03,4.37,2019-12-04,7.966,494.4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
